City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dolinsk,47.35,142.8,63.45,88,100,6.35,RU,1690838191
1,ancud,-41.8697,-73.8203,52.32,81,95,32.61,CL,1690837867
2,puerto natales,-51.7236,-72.4875,29.7,83,100,0.47,CL,1690838042
3,geraldton,-28.7667,114.6,45.01,93,0,10.36,AU,1690838045
4,dharmavaram,14.4333,77.7167,76.71,75,100,19.48,IN,1690838192
5,grytviken,-54.2811,-36.5092,25.12,83,20,10.36,GS,1690838039
6,mount pearl,47.5166,-52.7813,63.32,88,100,11.5,CA,1690838193
7,carutapera,-1.195,-46.02,79.16,80,5,7.52,BR,1690838193
8,la'ie,21.6477,-157.9253,85.96,73,70,18.12,US,1690838194
9,la sarre,48.8002,-79.1996,57.58,66,79,6.22,CA,1690838194
10,kaffrine,14.1059,-15.5508,84.31,66,36,8.55,SN,1690838195
11,port elizabeth,-33.918,25.5701,51.1,87,100,14.97,ZA,1690838124
12,ribeira grande,38.5167,-28.7,77.77,89,13,1.01,PT,1690838196
13,port-aux-francais,-49.35,70.2167,39.27,87,100,37.65,TF,1690838042
14,kaiyuan,23.6977,103.3037,67.55,96,100,2.15,CN,1690838196
15,kodiak,57.79,-152.4072,56.71,88,100,4.61,US,1690838197
16,west island,-12.1568,96.8225,76.98,83,69,14.97,CC,1690838197
17,isafjordur,66.0755,-23.124,50.81,82,81,6.02,IS,1690838198
18,ilulissat,69.2167,-51.1,42.82,93,75,3.44,GL,1690838062
19,midvagur,62.0511,-7.1939,56.23,82,75,5.75,FO,1690838199
20,edinburgh of the seven seas,-37.0676,-12.3116,56.98,89,99,21.09,SH,1690838059
21,petropavlovsk-kamchatsky,53.0452,158.6483,50.59,100,100,4.47,RU,1690838072
22,lau,9.2167,11.2833,81.84,71,88,8.52,NG,1690838200
23,fortuna,40.5982,-124.1573,69.93,73,0,14.97,US,1690838200
24,olonkinbyen,70.9221,-8.7187,45.34,91,97,4.18,SJ,1690837967
25,baker city,44.7749,-117.8344,87.51,22,0,6.91,US,1690838201
26,bluefields,12.0137,-83.7635,84.58,73,59,9.6,NI,1690838202
27,egilsstadir,65.2653,-14.3948,48.11,87,100,11.5,IS,1690838202
28,arraias,-12.9288,-46.9437,81.59,30,91,2.46,BR,1690838202
29,hermanus,-34.4187,19.2345,44.8,67,38,1.86,ZA,1690838204
30,bethel,41.3712,-73.414,82.94,54,75,6.91,US,1690838062
31,lazaro cardenas,17.9583,-102.2,90.01,59,96,11.43,MX,1690838205
32,waitangi,-43.9535,-176.5597,53.82,86,10,7.0,NZ,1690838055
33,kayangel,8.0823,134.7173,82.53,79,98,7.61,PW,1690838205
34,utrik,11.2278,169.8474,82.63,79,100,15.64,MH,1690838078
35,yellowknife,62.456,-114.3525,72.12,56,75,11.5,CA,1690838048
36,klyuchi,52.2667,79.1667,69.85,60,55,5.1,RU,1690838206
37,shiraoi,42.55,141.35,71.76,88,0,3.02,JP,1690838207
38,lihue,21.9789,-159.3672,85.59,70,0,14.97,US,1690838059
39,tiksi,71.6872,128.8694,39.2,92,59,2.77,RU,1690838057
40,weno,7.4515,151.8468,83.73,76,26,8.84,FM,1690838208
41,blackmans bay,-43.0167,147.3167,46.53,79,73,14.38,AU,1690838056
42,awjilah,29.1081,21.2869,83.17,51,0,17.63,LY,1690838209
43,longyearbyen,78.2186,15.6401,46.24,71,75,11.5,SJ,1690838046
44,saldanha,-33.0117,17.9442,51.46,79,3,7.92,ZA,1690838210
45,noshiro,40.2039,140.0242,72.91,93,9,4.21,JP,1690838210
46,puerto ayora,-0.7393,-90.3518,84.16,89,71,5.01,EC,1690838061
47,papatowai,-46.5619,169.4708,45.82,59,7,12.91,NZ,1690838043
48,divnogorsk,55.9594,92.3619,57.74,95,0,3.24,RU,1690838211
49,bamboo flat,11.7,92.7167,84.29,84,75,12.66,IN,1690838211
50,talnakh,69.4865,88.3972,58.21,87,9,0.43,RU,1690838212
51,adamstown,-25.066,-130.1015,66.33,56,99,20.07,PN,1690837806
52,calderitas,18.55,-88.25,86.11,74,75,9.22,MX,1690838213
53,novovelichkovskaya,45.2778,38.8436,73.54,40,79,8.77,RU,1690838213
54,stanley,54.868,-1.6985,55.71,93,40,3.44,GB,1690838213
55,punta arenas,-53.15,-70.9167,33.12,98,100,15.82,CL,1690838214
56,remire-montjoly,4.9167,-52.2667,84.24,74,0,11.5,GF,1690838214
57,lebu,-37.6167,-73.65,55.15,93,100,17.11,CL,1690838215
58,olyokminsk,60.3736,120.4264,51.31,63,98,4.47,RU,1690838215
59,codrington,-38.2667,141.9667,51.87,89,83,8.25,AU,1690838051
60,fort bragg,35.139,-79.006,83.88,90,75,6.91,US,1690838216
61,alo,7.4178,6.7371,75.88,96,100,6.29,NG,1690838216
62,barah,13.7,30.3667,84.07,55,2,13.58,SD,1690838217
63,bathsheba,13.2167,-59.5167,84.81,84,20,9.22,BB,1690838217
64,saint-francois,46.4154,3.9054,74.64,50,0,10.36,FR,1690838217
65,st. john's,47.5649,-52.7093,64.15,88,100,11.5,CA,1690838218
66,mariental,-24.6333,17.9667,45.82,26,0,11.36,NA,1690838218
67,ust-nera,64.5667,143.2,47.62,97,100,7.31,RU,1690838219
68,alton north (historical),26.2953,-98.3045,104.95,36,20,6.91,US,1690838219
69,kill devil hills,36.0307,-75.676,82.42,62,0,8.05,US,1690838219
70,kerch,45.3583,36.4758,79.34,54,36,9.95,UA,1690837921
71,mutuali,-14.8706,37.0044,67.15,50,25,8.16,MZ,1690838220
72,albany,42.6001,-73.9662,75.45,67,29,3.0,US,1690838063
73,pangody,65.85,74.4859,63.07,80,100,6.06,RU,1690838221
74,kawant,22.1,74.05,77.85,88,95,9.84,IN,1690838103
75,aasiaat,68.7098,-52.8699,37.8,89,98,1.34,GL,1690838222
76,constantia,44.1833,28.65,66.88,76,100,2.42,RO,1690838222
77,miandrivazo,-19.5167,45.4667,69.89,48,4,1.43,MG,1690838222
78,kapa'a,22.0752,-159.319,86.32,77,0,14.97,US,1690838223
79,tomatlan,19.9333,-105.25,91.69,56,96,9.86,MX,1690838224
